"PolarAngle","vtkOriginalPointIds","Points:0","Points:1","Points:2"
0,0,92.842,2.3098,132.9
0,1,92.837,2.258,132.85
0,2,92.77,2.2888,132.9
0,3,92.972,2.295,132.85
0,4,92.925,2.2632,132.83
0,5,93.062,2.2711,132.8
0,6,93.019,2.2566,132.8
0,7,93.13,2.2364,132.74
0,8,92.828,2.2163,132.8
0,9,92.738,2.2566,132.86
0,10,92.921,2.2226,132.79
0,11,93.018,2.2268,132.77
0,12,93.108,2.1988,132.7
0,13,92.849,2.1763,132.74
0,14,92.739,2.2002,132.79
0,15,92.932,2.1813,132.73
0,16,93.008,2.1923,132.73
0,17,93.076,2.1734,132.69
0,18,92.83,2.1458,132.7
0,19,92.942,2.1421,132.67
0,20,93.041,2.1488,132.66
284.57,21,85.526,6.5776,135.88
284.63,22,85.593,6.4208,135.86
284.6,23,85.484,6.4715,135.85
284.6,24,85.652,6.6441,135.91
284.75,25,85.685,6.4995,135.89
287.65,26,85.735,6.6808,135.93
287.42,27,85.797,6.5654,135.92
289.24,28,85.809,6.6996,135.94
285.96,29,85.62,6.2752,135.83
285.72,30,85.482,6.361,135.82
287.31,31,85.73,6.3481,135.86
288.68,32,85.837,6.4262,135.89
290.06,33,85.895,6.6306,135.94
290.15,34,85.96,6.5085,135.92
291.48,35,86.005,6.6394,135.94
287.3,36,85.655,6.1245,135.79
286.45,37,85.508,6.2119,135.79
289.94,38,85.767,6.1971,135.83
290.04,39,85.875,6.2746,135.86
290.18,40,85.98,6.3542,135.89
292.67,41,86.13,6.5535,135.93
292.51,42,86.082,6.4258,135.91
292.96,43,86.217,6.3994,135.91
288.67,44,85.7,5.9697,135.75
288.17,45,85.545,6.0569,135.74
290.03,46,85.81,6.0448,135.79
291,47,85.92,6.1238,135.82
292.09,48,86.028,6.2052,135.86
293.73,49,86.132,6.291,135.88
294.21,50,86.289,6.2552,135.88
290.04,51,85.751,5.8129,135.7
290.05,52,85.59,5.8987,135.7
290.11,53,85.863,5.8886,135.74
292.02,54,85.967,5.9723,135.78
294.04,55,86.08,6.0553,135.82
294.88,56,86.19,6.1423,135.85
295.64,57,86.352,6.1138,135.84
292.38,58,85.805,5.6557,135.64
292.46,59,85.64,5.7392,135.64
292.22,60,85.922,5.732,135.69
293.08,61,86.036,5.814,135.73
294.3,62,86.119,5.9101,135.77
297.77,63,86.248,5.9722,135.8
299.17,64,86.391,6.0193,135.82
294.78,65,85.859,5.4989,135.58
294.88,66,85.692,5.5802,135.58
294.36,67,85.978,5.5736,135.63
294.14,68,86.1,5.6582,135.68
294.79,69,86.232,5.7628,135.73
299.06,70,86.357,5.8561,135.77
