"PolarAngle","vtkOriginalPointIds","Points:0","Points:1","Points:2"
229.85,1257,56.368,22.598,111.3
228.72,1258,56.239,22.468,111.39
229.53,1259,56.117,22.558,111.31
229.42,1260,56.689,22.556,111.35
227.31,1261,56.525,22.457,111.42
229.31,1262,56.99,22.506,111.4
227.33,1263,56.817,22.416,111.47
231.04,1264,57.279,22.45,111.45
227.08,1265,57.102,22.366,111.51
233.28,1266,57.559,22.387,111.5
229.16,1267,57.378,22.31,111.56
233.9,1268,57.826,22.318,111.55
231.45,1269,57.641,22.252,111.6
233.21,1270,58.068,22.24,111.6
231.76,1271,57.892,22.188,111.64
232.68,1272,58.219,22.178,111.64
232.22,1273,58.138,22.099,111.7
233.69,1274,58.331,22.115,111.67
221.15,1275,55.163,22.68,111.1
220.55,1276,54.963,22.584,111.15
217.64,1277,54.834,22.717,111.02
225.3,1278,55.479,22.659,111.16
224.94,1279,55.277,22.557,111.21
226.97,1280,55.756,22.622,111.22
225.16,1281,55.58,22.527,111.28
229.14,1282,55.944,22.582,111.28
218.85,1285,56.381,22.347,111.49
219.13,1286,56.661,22.318,111.53
219.13,1287,56.942,22.275,111.58
223.24,1288,57.219,22.223,111.62
227.71,1289,57.486,22.166,111.67
228.34,1290,57.735,22.115,111.7
228.82,1291,57.964,22.067,111.73
232.7,1292,58.383,22.006,111.75
229.25,1293,58.165,21.957,111.79
232.51,1294,58.524,21.919,111.79
229.55,1295,58.389,21.904,111.81
233.21,1296,58.583,21.833,111.84
215.81,1297,54.352,22.676,110.97
215.81,1298,54.301,22.542,111.06
215.81,1299,54.142,22.605,110.98
215.84,1300,54.59,22.69,111
215.87,1301,54.621,22.571,111.1
218.18,1302,54.845,22.476,111.21
220.54,1303,55.094,22.45,111.27
220.54,1304,55.387,22.429,111.33
220.49,1305,55.663,22.403,111.38
217.67,1307,56.208,22.25,111.55
217.76,1308,56.505,22.217,111.6
217.98,1309,56.789,22.178,111.64
217.75,1310,57.07,22.13,111.68
217.65,1311,57.349,22.074,111.73
218.22,1312,57.623,22.015,111.77
218.81,1313,57.876,21.98,111.79
218.82,1314,58.019,21.875,111.85
223.11,1315,58.193,21.841,111.87
225.56,1316,58.402,21.796,111.88
209.83,1317,53.764,22.608,110.89
209.63,1318,53.619,22.512,110.93
207.9,1319,53.461,22.621,110.81
215.75,1320,53.965,22.604,110.94
215.63,1321,53.951,22.507,111.01
215.75,1322,54.174,22.438,111.11
215.71,1323,54.414,22.433,111.16
215.63,1324,54.653,22.426,111.21
215.67,1325,54.869,22.333,111.32
215.66,1326,55.21,22.326,111.38
215.78,1328,55.645,22.168,111.55
217.38,1331,56.354,22.117,111.65
217.81,1332,56.637,22.08,111.7
217.04,1333,56.92,22.036,111.74
216.49,1334,57.204,21.983,111.79
217.44,1335,57.495,21.921,111.83
218.13,1336,57.804,21.852,111.87
203.68,1337,53.208,22.579,110.78
203.56,1338,53.301,22.475,110.88
204.59,1339,53.077,22.5,110.8
209.65,1340,53.503,22.41,110.98
215.76,1341,53.754,22.407,111.04
212.88,1342,53.985,22.387,111.11
210.72,1343,54.186,22.304,111.21
210.71,1344,54.524,22.313,111.27
210.7,1345,54.65,22.195,111.37
212.74,1346,54.871,22.215,111.4
213.77,1347,55.079,22.215,111.43
203.86,1349,52.487,22.463,110.65
203.31,1350,52.327,22.372,110.67
203.44,1351,52.196,22.448,110.57
207.15,1352,52.737,22.479,110.72
206.49,1353,52.615,22.378,110.75
205.28,1354,52.914,22.487,110.76
204.82,1355,52.907,22.394,110.83
203.42,1356,53.125,22.378,110.9
209.6,1357,53.297,22.332,110.98
215.08,1358,53.583,22.31,111.07
211.23,1359,53.862,22.289,111.15
210.83,1360,53.931,22.161,111.25
210.28,1361,54.155,22.184,111.28
210.51,1362,54.364,22.2,111.31
203.26,1363,52.196,22.275,110.69
203.92,1364,52.046,22.334,110.59
204.76,1365,52.445,22.3,110.75
203.37,1366,52.673,22.262,110.85
0,1367,52.965,22.294,110.91
0,1368,53.084,22.238,110.99
0,1369,53.238,22.237,111.03
0,1370,53.406,22.221,111.08
0,1371,53.654,22.2,111.16
205.08,1372,52.138,22.194,110.72
206.39,1373,51.919,22.202,110.64
203.47,1374,52.366,22.211,110.79
0,1375,52.426,22.121,110.86
0,1376,52.65,22.157,110.91
0,1377,52.866,22.171,110.97
205.4,1378,51.998,22.133,110.71
0,1379,52.161,22.116,110.78
234.66,1661,56.213,22.869,111.06
234.38,1662,56.022,22.792,111.11
231.95,1663,55.907,22.903,111.01
234.73,1664,56.496,22.83,111.11
234.11,1665,56.296,22.739,111.18
234.73,1666,56.789,22.78,111.17
234,1667,56.586,22.691,111.24
234.73,1668,57.092,22.721,111.23
234.02,1669,56.886,22.642,111.29
234.78,1670,57.394,22.655,111.29
234.11,1671,57.185,22.585,111.34
238.43,1672,57.694,22.579,111.34
234.73,1673,57.479,22.52,111.4
241.99,1674,57.993,22.49,111.4
235.19,1675,57.769,22.445,111.45
240.53,1676,58.288,22.383,111.47
235.49,1677,58.059,22.355,111.51
239.2,1678,58.574,22.267,111.54
235.7,1679,58.355,22.232,111.58
242.5,1680,58.85,22.145,111.6
241.01,1681,58.66,22.103,111.65
247.5,1682,59.116,22.026,111.65
246.68,1683,58.916,21.973,111.71
247.32,1684,59.39,21.921,111.69
246.82,1685,59.184,21.861,111.76
247.06,1686,59.662,21.821,111.72
246.98,1687,59.463,21.76,111.79
253.11,1688,59.934,21.718,111.74
253.48,1689,59.741,21.658,111.81
261.27,1690,60.191,21.63,111.75
261.47,1691,60.018,21.549,111.83
261.83,1692,60.222,21.53,111.81
224,1693,55.196,22.889,110.94
