"PolarAngle","vtkOriginalPointIds","Points:0","Points:1","Points:2"
300.42,3,84.718,13.019,122.32
0,7,84.53,12.851,122.29
0,8,84.652,12.765,122.3
0,11,84.426,12.651,122.26
0,12,84.585,12.616,122.28
0,17,84.297,12.454,122.22
0,18,84.547,12.483,122.26
0,19,84.429,12.397,122.23
0,20,84.574,12.278,122.23
0,27,84.333,12.182,122.19
0,28,84.49,12.065,122.18
0,34,84.192,11.917,122.12
0,35,84.365,11.977,122.15
311.45,41,84.068,11.69,122.05
306.86,47,83.978,11.505,121.99
306.44,53,83.851,11.441,121.95
316.36,57,85.403,14.407,122.45
316.05,58,85.237,14.161,122.43
314.75,60,85.58,14.331,122.48
314.75,61,85.478,14.145,122.47
315.02,62,85.703,14.241,122.5
314.79,66,85.105,13.962,122.4
314.67,67,85.303,13.947,122.44
314.99,68,85.717,14.021,122.5
314.7,69,85.499,13.93,122.47
314.67,70,85.609,13.774,122.48
314.23,74,85.143,13.74,122.41
313.6,75,85.368,13.734,122.45
312.87,76,85.504,13.578,122.46
313.9,80,84.966,13.551,122.38
312.78,81,85.223,13.507,122.42
311.2,82,85.426,13.446,122.44
306.74,86,84.765,13.337,122.34
306.15,87,85.026,13.304,122.38
307.99,88,85.379,13.323,122.43
305.09,89,85.226,13.26,122.4
305.07,90,85.41,13.118,122.41
298.92,96,84.922,13.072,122.35
0,97,85.157,13.055,122.38
0,98,85.295,12.829,122.36
0,104,84.836,12.808,122.32
0,105,85.048,12.83,122.34
0,106,85.129,12.597,122.32
0,113,84.721,12.543,122.28
0,114,84.917,12.589,122.3
0,115,84.994,12.399,122.28
0,122,84.779,12.324,122.26
0,123,84.914,12.222,122.25
0,128,84.806,12.113,122.22
0,129,84.648,12.03,122.19
0,134,84.325,11.839,122.12
0,135,84.493,11.818,122.13
0,140,84.252,11.681,122.08
0,141,84.402,11.614,122.07
309.69,146,84.289,11.496,122.03
308.63,147,84.127,11.434,121.99
305.13,152,83.78,11.288,121.9
305.32,153,83.973,11.267,121.93
300.99,161,83.82,11.156,121.87
299.16,162,83.62,11.146,121.82
291.74,170,83.495,10.925,121.72
0,187,86.692,15.675,122.59
0,189,86.952,15.835,122.61
0,193,86.486,15.495,122.58
0,194,86.981,15.649,122.63
0,195,86.693,15.456,122.61
298.3,196,86.884,15.478,122.64
0,200,86.441,15.289,122.59
314.31,201,86.846,15.322,122.64
315.64,202,86.615,15.222,122.62
316.57,203,86.767,15.192,122.64
325.08,207,86.22,15.127,122.56
316.36,208,86.412,15.058,122.6
317.15,209,86.721,15.075,122.64
317.13,210,86.585,15.011,122.62
317.12,211,86.764,14.902,122.64
318.09,215,86.007,14.95,122.53
314.94,216,86.227,14.879,122.57
315.33,217,86.474,14.84,122.61
315.04,218,86.594,14.653,122.62
317.26,222,85.776,14.774,122.5
314.83,223,86.012,14.693,122.54
315.45,224,86.286,14.653,122.58
314.95,225,86.349,14.433,122.58
314.78,230,85.761,14.497,122.5
315.52,231,86.069,14.46,122.55
314.93,232,86.181,14.236,122.56
315.34,236,85.913,14.238,122.53
314.7,237,86.068,14.092,122.54
314.78,240,85.954,13.956,122.52
314.92,241,85.809,13.804,122.5
315.01,242,86.01,13.694,122.51
312.48,245,85.746,13.582,122.48
312.02,246,85.875,13.381,122.46
310.69,261,85.605,13.355,122.45
307.9,262,85.683,13.145,122.42
0,279,85.528,12.966,122.39
0,295,85.53,12.799,122.37
0,296,85.436,12.662,122.34
0,297,85.636,12.634,122.34
0,317,85.49,12.507,122.31
0,318,85.304,12.507,122.31
0,334,85.174,12.327,122.27
0,351,85.05,12.2,122.25
0,360,84.783,11.94,122.18
0,361,84.952,12.034,122.21
0,367,84.863,11.834,122.16
0,368,84.696,11.722,122.12
0,373,84.542,11.599,122.08
309.22,377,84.258,11.328,121.98
0,378,84.431,11.416,122.02
308.15,382,84.337,11.209,121.95
307.17,383,84.151,11.132,121.9
302.69,389,83.754,11.047,121.82
319.87,390,83.927,11.015,121.84
301.09,395,83.674,10.906,121.76
303.72,396,83.816,10.829,121.76
300.94,403,83.701,10.725,121.7
295.66,404,83.54,10.674,121.64
293.27,414,83.402,10.602,121.59
0,433,87.608,16.44,122.6
0,434,87.305,16.284,122.59
0,435,87.508,16.301,122.62
313.81,442,87.449,16.181,122.63
309.4,443,87.275,16.074,122.62
311.7,444,87.509,16.039,122.65
278.1,449,87.213,15.858,122.64
313.51,450,87.473,15.823,122.66
317.03,454,87.279,15.598,122.66
314.45,455,87.039,15.469,122.65
317.5,456,87.161,15.416,122.67
316.77,460,87.04,15.268,122.66
316.66,461,86.89,15.122,122.65
316.29,462,87.071,15.057,122.66
316.67,469,86.952,14.791,122.65
316.47,479,86.819,14.591,122.63
315.63,480,86.696,14.491,122.62
316.56,481,86.83,14.357,122.62
315.35,492,86.562,14.372,122.6
316.95,493,86.626,14.171,122.59
315.08,506,86.4,14.161,122.57
316.39,507,86.522,13.914,122.56
314.66,520,86.223,13.939,122.54
315.03,521,86.288,13.689,122.52
314.39,536,86.118,13.506,122.49
313.46,555,86.111,13.316,122.46
311.69,556,86.008,13.21,122.44
311.51,557,86.169,13.076,122.42
307.61,572,85.897,13.082,122.42
307.68,573,85.978,12.858,122.38
0,588,85.739,12.886,122.39
0,589,85.835,12.671,122.34
0,607,85.738,12.476,122.3
0,629,85.431,12.362,122.28
0,630,85.602,12.352,122.28
0,651,85.488,12.228,122.25
0,652,85.337,12.189,122.24
0,670,85.164,12.041,122.21
0,685,85.081,11.798,122.15
0,686,85.001,11.882,122.17
0,687,84.922,11.664,122.11
0,699,84.798,11.505,122.06
0,708,84.63,11.418,122.03
0,713,84.566,11.158,121.94
0,714,84.477,11.248,121.97
0,715,84.412,11.016,121.88
338.42,720,84.231,10.93,121.84
342.41,724,84.072,10.887,121.81
329.42,728,83.941,10.795,121.76
296.35,732,83.673,10.569,121.63
297.2,733,83.836,10.639,121.68
289.71,746,83.435,10.458,121.53
295.68,747,83.749,10.456,121.59
289.91,748,83.593,10.379,121.53
287.66,762,83.448,10.306,121.47
280.39,763,83.3,10.284,121.42
309.96,786,87.745,16.895,122.53
309.45,787,88.029,17.037,122.53
315.81,793,87.97,16.822,122.57
318.82,794,87.713,16.645,122.58
316.42,795,87.954,16.65,122.6
319.64,800,87.924,16.45,122.63
320.79,801,87.672,16.271,122.63
319.95,802,87.821,16.183,122.66
318.46,809,87.7,15.978,122.67
317.98,819,87.751,15.809,122.69
316.88,820,87.515,15.652,122.68
316.82,821,87.655,15.62,122.69
315.34,831,87.522,15.419,122.69
315.67,832,87.265,15.313,122.67
315.08,833,87.365,15.149,122.68
313.94,844,87.211,14.928,122.67
315.41,856,87.239,14.718,122.66
316.67,857,86.998,14.589,122.64
317.03,858,87.107,14.468,122.64
319.51,868,87.001,14.252,122.61
319.21,881,86.815,14.084,122.59
318.6,891,86.831,13.856,122.56
318,892,86.645,13.747,122.54
318.26,893,86.737,13.585,122.51
315.3,906,86.494,13.604,122.51
315.47,907,86.57,13.366,122.47
314.02,919,86.321,13.381,122.47
312.94,920,86.425,13.14,122.43
0,932,86.329,12.918,122.39
0,943,86.171,12.77,122.36
0,956,86.02,12.587,122.32
0,980,85.88,12.448,122.29
0,991,85.76,12.258,122.25
0,1003,85.359,11.936,122.17
0,1004,85.565,12.054,122.2
0,1017,85.301,11.664,122.09
0,1018,85.212,11.817,122.15
0,1019,85.112,11.612,122.09
0,1032,84.975,11.443,122.03
0,1044,84.962,11.232,121.96
0,1045,84.801,11.272,121.98
0,1046,84.883,11.084,121.9
